player_1,player_2,Winner,Location,Tournament,Date,Series,Court,Best of,Surface,Round,elo_player_1,elo_player_2,surface_elo_player_1,surface_elo_player_2,days_since_1,days_since_2,form5_1,form5_2,form10_1,form10_2,avg_opp5_1,avg_opp5_2,avg_opp10_1,avg_opp10_2
Paul T.,Daniel T.,player_1,Adelaide,Adelaide International 1,2022-01-06,ATP250,Outdoor,3.0,Hard,2nd Round,1516.0,1516.0,1516.0,1516.0,2.0,2.0,1.0,0.5,1.0,0.5,1508.0,1508.0,1508.0,1508.0
Van De Zandschulp B.,Dimitrov G.,player_2,Melbourne,Melbourne Summer Set,2022-01-07,ATP250,Outdoor,3.0,Hard,Quarterfinals,1532.0,1516.736306793522,1532.0,1516.736306793522,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1510.9121022645074,1524.0,1510.9121022645074,1524.0
Munar J.,Cressy M.,player_2,Melbourne,Melbourne Summer Set,2022-01-07,ATP250,Outdoor,3.0,Hard,Quarterfinals,1531.263693206478,1531.263693206478,1531.263693206478,1531.263693206478,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1510.421231068826,1510.421231068826,1510.421231068826,1510.421231068826
Ruusuvuori E.,Molcan A.,player_1,Melbourne,Melbourne Summer Set,2022-01-07,ATP250,Outdoor,3.0,Hard,Quarterfinals,1532.0,1531.263693206478,1532.0,1531.263693206478,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1515.7545644021593,1510.6666666666667,1515.7545644021593,1510.6666666666667
Monfils G.,Paul T.,player_1,Adelaide,Adelaide International 1,2022-01-07,ATP250,Outdoor,3.0,Hard,Quarterfinals,1516.736306793522,1532.0,1516.736306793522,1532.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1524.0,1510.9121022645074,1524.0,1510.9121022645074
Cilic M.,Djere L.,player_1,Adelaide,Adelaide International 1,2022-01-07,ATP250,Outdoor,3.0,Hard,Quarterfinals,1516.736306793522,1516.0,1516.736306793522,1516.0,2.0,4.0,1.0,0.5,1.0,0.5,1516.0,1508.368153396761,1516.0,1508.368153396761
Ymer M.,Kokkinakis T.,player_2,Adelaide,Adelaide International 1,2022-01-07,ATP250,Outdoor,3.0,Hard,Quarterfinals,1532.0,1531.263693206478,1532.0,1531.263693206478,2.0,2.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1515.7545644021593,1510.6666666666667,1515.7545644021593,1510.6666666666667
Gerasimov E.,Khachanov K.,player_2,Adelaide,Adelaide International 1,2022-01-07,ATP250,Outdoor,3.0,Hard,Quarterfinals,1532.0,1516.736306793522,1532.0,1516.736306793522,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1510.9121022645074,1524.0,1510.9121022645074,1524.0
Monfils G.,Kokkinakis T.,player_1,Adelaide,Adelaide International 1,2022-01-08,ATP250,Outdoor,3.0,Hard,Semifinals,1533.4387739660467,1547.2976013366472,1533.4387739660467,1547.2976013366472,1.0,1.0,1.0,0.75,1.0,0.75,1531.7658671122156,1516.3596934915117,1531.7658671122156,1516.3596934915117
Dimitrov G.,Cressy M.,player_2,Melbourne,Melbourne Summer Set,2022-01-08,ATP250,Outdoor,3.0,Hard,Semifinals,1533.4387739660467,1547.263693206478,1533.4387739660467,1547.263693206478,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1531.7545644021593,1516.1756167931312,1531.7545644021593,1516.1756167931312
Ruusuvuori E.,Nadal R.,player_2,Melbourne,Melbourne Summer Set,2022-01-08,ATP250,Outdoor,3.0,Hard,Semifinals,1547.9660918698307,1516.736306793522,1547.9660918698307,1516.736306793522,1.0,2.0,0.75,1.0,0.75,1.0,1516.0,1531.9830459349155,1516.0,1531.9830459349155
Cilic M.,Khachanov K.,player_2,Adelaide,Adelaide International 1,2022-01-08,ATP250,Outdoor,3.0,Hard,Semifinals,1532.7023986633528,1533.4387739660467,1532.7023986633528,1533.4387739660467,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1521.812924655349,1526.900799554451,1521.812924655349,1526.900799554451
Monfils G.,Khachanov K.,player_1,Adelaide,Adelaide International 1,2022-01-09,ATP250,Outdoor,3.0,Hard,The Final,1550.0766582701813,1549.4048626809276,1550.0766582701813,1549.4048626809276,1.0,1.0,1.0,0.75,1.0,0.75,1536.1756160043938,1532.6947642333835,1536.1756160043938,1532.6947642333835
Nadal R.,Cressy M.,player_1,Melbourne,Melbourne Summer Set,2022-01-09,ATP250,Outdoor,3.0,Hard,The Final,1534.1706307071072,1562.6273679535536,1534.1706307071072,1562.6273679535536,1.0,1.0,1.0,0.8,1.0,0.8,1542.197819941128,1519.7746195759264,1542.197819941128,1519.7746195759264
Bagnis F.,Goffin D.,player_2,Sydney,Sydney Tennis Classic,2022-01-10,ATP250,Outdoor,3.0,Hard,1st Round,1499.263693206478,1484.736306793522,1499.263693206478,1484.736306793522,4.0,4.0,0.3333333333333333,0.5,0.3333333333333333,0.5,1494.9121022645074,1507.631846603239,1494.9121022645074,1507.631846603239
Altmaier D.,Fognini F.,player_2,Sydney,Sydney Tennis Classic,2022-01-10,ATP250,Outdoor,3.0,Hard,1st Round,1484.0,1500.0,1484.0,1500.0,7.0,,0.0,1.0,0.0,1.0,1500.0,1484.0,1500.0,1484.0
Thompson J.,Giron M.,player_1,Sydney,Sydney Tennis Classic,2022-01-10,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1484.0,1500.0,1484.0,4.0,5.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1500.0,1500.0,1500.0,1500.0
Gaston H.,Sonego L.,player_2,Sydney,Sydney Tennis Classic,2022-01-10,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1500.0,1500.0,1500.0,,,0.0,1.0,0.0,1.0,1500.0,1500.0,1500.0,1500.0
Bublik A.,Vukic A.,player_2,Adelaide,Adelaide International 2,2022-01-10,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1484.0,1500.0,1484.0,,7.0,0.0,0.5,0.0,0.5,1484.0,1500.0,1484.0,1500.0
Rinderknech A.,Mcdonald M.,player_1,Adelaide,Adelaide International 2,2022-01-10,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1500.0,1500.0,1500.0,,4.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1500.0,1505.3333333333333,1500.0,1505.3333333333333
Paul T.,Tiafoe F.,player_1,Adelaide,Adelaide International 2,2022-01-10,ATP250,Outdoor,3.0,Hard,1st Round,1515.2975328274754,1484.736306793522,1515.2975328274754,1484.736306793522,3.0,5.0,0.75,0.0,0.75,0.0,1504.368153396761,1515.6487664137376,1504.368153396761,1515.6487664137376
Millman J.,Munar J.,player_2,Adelaide,Adelaide International 2,2022-01-10,ATP250,Outdoor,3.0,Hard,1st Round,1484.0,1515.263693206478,1484.0,1515.263693206478,6.0,3.0,0.0,0.75,0.0,0.75,1507.631846603239,1503.8159233016195,1507.631846603239,1503.8159233016195
Durasovic V.,Murray A.,player_2,Sydney,Sydney Tennis Classic,2022-01-11,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1484.0,1500.0,1484.0,,7.0,0.0,0.5,0.0,0.5,1484.0,1500.0,1484.0,1500.0
Mannarino A.,Cressy M.,player_2,Sydney,Sydney Tennis Classic,2022-01-11,ATP250,Outdoor,3.0,Hard,1st Round,1484.0,1545.3198093604287,1484.0,1545.3198093604287,7.0,2.0,0.0,0.8,0.0,0.8333333333333334,1522.6599046802144,1516.5746195759264,1522.6599046802144,1513.8121829799386
Davidovich Fokina A.,Lajovic D.,player_2,Sydney,Sydney Tennis Classic,2022-01-11,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1500.0,1500.0,1500.0,,,0.0,1.0,0.0,1.0,1500.0,1500.0,1500.0,1500.0
